timestamp,equity,cash,safety_state,exposure_scale,dd_asof,ath_asof,overlay_reason,target_gross_exposure,actual_gross_exposure
2021-01-01,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-02,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-03,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-04,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-05,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-06,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-07,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-08,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-09,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-10,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-11,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-12,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-13,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-14,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-15,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-16,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-17,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-18,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-19,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-20,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-21,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-22,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-23,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-24,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-25,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-26,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-27,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-28,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-29,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-30,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-01-31,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-01,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-02,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-03,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-04,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-05,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-06,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-07,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-08,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-09,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-10,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-11,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-12,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-13,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-14,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-15,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-16,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-17,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-18,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-19,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-20,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-21,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-22,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-23,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-24,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-25,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-26,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-27,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-02-28,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-01,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-02,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-03,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-04,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-05,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-06,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-07,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-08,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-09,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-10,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-11,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-12,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-13,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-14,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-15,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-16,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-17,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-18,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-19,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-20,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-21,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-22,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-23,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-24,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-25,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-26,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-27,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-28,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-29,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-30,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-03-31,2000.0,2000.0,NORMAL,1.0,0.0,2000.0,,0.0,0.0
2021-04-01,1998.6591198890535,1566.65,NORMAL,1.0,0.0,2000.0,,0.5,0.2161
2021-04-02,2005.8000000000002,2005.8000000000002,NORMAL,1.0,-0.00067,2000.0,,0.0,0.0
2021-04-03,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-04,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-05,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-06,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-07,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-08,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-09,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-10,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-11,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-12,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-13,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-14,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-15,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-16,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-17,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-18,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-19,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-20,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-21,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-22,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-23,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-24,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-25,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-26,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-27,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-28,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-29,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-04-30,2005.8000000000002,2005.8000000000002,NORMAL,1.0,0.0,2005.8,,0.0,0.0
2021-05-01,2004.6019473464266,1567.4500000000003,NORMAL,1.0,0.0,2005.8,,0.5,0.2181
2021-05-02,1996.8697133849812,1567.4500000000003,NORMAL,1.0,-0.000597,2005.8,,0.0,0.215
2021-05-03,2009.132173860479,1567.4500000000003,NORMAL,1.0,-0.004452,2005.8,,0.0,0.2198
2021-05-04,1996.969562450555,1567.4500000000003,NORMAL,1.0,0.0,2009.13,,0.0,0.2151
2021-05-05,2002.2256542747823,1567.4500000000003,NORMAL,1.0,-0.006054,2009.13,,0.0,0.2171
2021-05-06,2021.4901776593479,1567.4500000000003,NORMAL,1.0,-0.003438,2009.13,,0.0,0.2246
2021-05-07,2012.7223319673699,1567.4500000000003,NORMAL,1.0,0.0,2021.49,,0.0,0.2212
2021-05-08,2007.9018339203926,1567.4500000000003,NORMAL,1.0,-0.004337,2021.49,,0.0,0.2194
2021-05-09,2008.9998923674632,1567.4500000000003,NORMAL,1.0,-0.006722,2021.49,,0.0,0.2198
2021-05-10,2004.774474895954,1567.4500000000003,NORMAL,1.0,-0.006179,2021.49,,0.0,0.2181
2021-05-11,1991.430275718775,1567.4500000000003,NORMAL,1.0,-0.008269,2021.49,,0.0,0.2129
2021-05-12,1992.2236528358815,1567.4500000000003,NORMAL,1.0,-0.01487,2021.49,,0.0,0.2132
2021-05-13,1983.4112670842883,1567.4500000000003,NORMAL,1.0,-0.014478,2021.49,,0.0,0.2097
2021-05-14,1987.559169868401,1567.4500000000003,NORMAL,1.0,-0.018837,2021.49,,0.0,0.2114
2021-05-15,1980.0440534173183,1567.4500000000003,NORMAL,1.0,-0.016785,2021.49,,0.0,0.2084
2021-05-16,1993.0402248179698,1567.4500000000003,NORMAL,1.0,-0.020503,2021.49,,0.0,0.2135
2021-05-17,1986.586121034883,1567.4500000000003,NORMAL,1.0,-0.014074,2021.49,,0.0,0.211
2021-05-18,1984.0959368026593,1567.4500000000003,NORMAL,1.0,-0.017266,2021.49,,0.0,0.21
2021-05-19,1991.0832326337822,1567.4500000000003,NORMAL,1.0,-0.018498,2021.49,,0.0,0.2128
2021-05-20,1980.8663486640094,1567.4500000000003,NORMAL,1.0,-0.015042,2021.49,,0.0,0.2087
2021-05-21,1982.9537699509692,1567.4500000000003,NORMAL,1.0,-0.020096,2021.49,,0.0,0.2095
2021-05-22,1994.0239766813133,1567.4500000000003,NORMAL,1.0,-0.019063,2021.49,,0.0,0.2139
2021-05-23,1980.5230533533477,1567.4500000000003,NORMAL,1.0,-0.013587,2021.49,,0.0,0.2086
2021-05-24,1982.2549353139511,1567.4500000000003,NORMAL,1.0,-0.020266,2021.49,,0.0,0.2093
2021-05-25,1984.6183510947567,1567.4500000000003,NORMAL,1.0,-0.019409,2021.49,,0.0,0.2102
2021-05-26,1991.349970435654,1567.4500000000003,NORMAL,1.0,-0.01824,2021.49,,0.0,0.2129
2021-05-27,1981.0750530254404,1567.4500000000003,NORMAL,1.0,-0.01491,2021.49,,0.0,0.2088
2021-05-28,1970.3583868198575,1567.4500000000003,NORMAL,1.0,-0.019993,2021.49,,0.0,0.2045
2021-05-29,1974.7657336976063,1567.4500000000003,NORMAL,1.0,-0.025294,2021.49,,0.0,0.2063
2021-05-30,1977.3887221659534,1567.4500000000003,NORMAL,1.0,-0.023114,2021.49,,0.0,0.2073
2021-05-31,1979.6474259066863,1567.4500000000003,NORMAL,1.0,-0.021816,2021.49,,0.0,0.2082
2021-06-01,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.020699,2021.49,,0.0,0.0
2021-06-02,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-03,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-04,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-05,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-06,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-07,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-08,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-09,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-10,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-11,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-12,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-13,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-14,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-15,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-16,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-17,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-18,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-19,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-20,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-21,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-22,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-23,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-24,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-25,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-26,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-27,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-28,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-29,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-06-30,1981.6000000000004,1981.6000000000004,NORMAL,1.0,-0.019733,2021.49,,0.0,0.0
2021-07-01,1980.4933067767558,1493.2500000000005,NORMAL,1.0,-0.019733,2021.49,,0.5,0.246
2021-07-02,1970.3012243909898,1493.2500000000005,NORMAL,1.0,-0.020281,2021.49,,0.0,0.2421
2021-07-03,1975.143031131718,1493.2500000000005,NORMAL,1.0,-0.025322,2021.49,,0.0,0.244
2021-07-04,1973.2302744679678,1493.2500000000005,NORMAL,1.0,-0.022927,2021.49,,0.0,0.2432
2021-07-05,1980.3243876676934,1493.2500000000005,NORMAL,1.0,-0.023873,2021.49,,0.0,0.246
2021-07-06,1985.1779633857368,1493.2500000000005,NORMAL,1.0,-0.020364,2021.49,,0.0,0.2478
2021-07-07,1984.707395793852,1493.2500000000005,NORMAL,1.0,-0.017963,2021.49,,0.0,0.2476
2021-07-08,1976.629863782619,1493.2500000000005,NORMAL,1.0,-0.018196,2021.49,,0.0,0.2445
2021-07-09,1962.2266208121075,1493.2500000000005,NORMAL,1.0,-0.022192,2021.49,,0.0,0.239
2021-07-10,1958.273007655264,1493.2500000000005,NORMAL,1.0,-0.029317,2021.49,,0.0,0.2375
2021-07-11,1966.4704220208646,1493.2500000000005,NORMAL,1.0,-0.031273,2021.49,,0.0,0.2406
2021-07-12,1968.7333028708615,1493.2500000000005,NORMAL,1.0,-0.027217,2021.49,,0.0,0.2415
2021-07-13,1957.1244847419712,1493.2500000000005,NORMAL,1.0,-0.026098,2021.49,,0.0,0.237
2021-07-14,1958.963106239269,1493.2500000000005,NORMAL,1.0,-0.031841,2021.49,,0.0,0.2377
2021-07-15,1962.7849098684187,1493.2500000000005,NORMAL,1.0,-0.030931,2021.49,,0.0,0.2392
2021-07-16,1954.7196388904883,1493.2500000000005,NORMAL,1.0,-0.029041,2021.49,,0.0,0.2361
2021-07-17,1956.3691630925152,1493.2500000000005,NORMAL,1.0,-0.03303,2021.49,,0.0,0.2367
2021-07-18,1957.1398741334895,1493.2500000000005,NORMAL,1.0,-0.032214,2021.49,,0.0,0.237
2021-07-19,1946.767572118577,1493.2500000000005,NORMAL,1.0,-0.031833,2021.49,,0.0,0.233
